word,https://www.iiserkol.ac.in/,https://www.iisermohali.ac.in/,https://www.iiserpune.ac.in/,https://www.iisertirupati.ac.in/
board,2,0,0,1
tenders,1,1,0,1
terms,0,1,1,1
technology,2,0,1,0
team,1,0,2,0
yoga,0,1,2,0
th,0,2,0,1
work,1,0,2,0
accolades,0,0,3,0
structure,3,0,0,0
advt,0,0,1,1
valley,2,0,0,0
veekshana,0,0,0,2
laboratories,2,0,0,0
journal,2,0,0,0
latest,1,0,1,0
join,0,0,2,0
january,2,0,0,0
event,1,0,0,1
where,1,0,0,1
was,1,0,1,0
wednesday,2,0,0,0
use,0,1,1,0
address,2,0,0,0
admission,0,1,0,1
antibiotics,0,0,2,0
undergraduate,0,0,0,2
yerpedu,0,0,0,2
youtube,1,0,1,0
